Rank,Player,Team,POS,AVG
1,Josh Allen,BUF,QB,1
2,Drake Maye,NE,QB,2
3,Jayden Daniels,WAS,QB,3
4,Lamar Jackson,BAL,QB,4
5,Ja'Marr Chase,CIN,WR,5
6,Bijan Robinson,ATL,RB,6
7,Jaxon Smith-Njigba,SEA,WR,7
8,Jahmyr Gibbs,DET,RB,8
9,Puka Nacua,LAR,WR,9
10,Joe Burrow,CIN,QB,10
11,Caleb Williams,CHI,QB,11
12,Patrick Mahomes,KC,QB,12
13,Jeremiyah Love,ARI,RB,13
14,Amon-Ra St. Brown,DET,WR,14
15,CeeDee Lamb,DAL,WR,15
16,Justin Jefferson,MIN,WR,16
17,Malik Nabers,NYG,WR,17
18,Ashton Jeanty,LVR,RB,18
19,Jalen Hurts,PHI,QB,19
20,Justin Herbert,LAC,QB,20
21,Jonathan Taylor,IND,RB,21
22,De'Von Achane,MIA,RB,22
23,Drake London,ATL,WR,23
24,Omarion Hampton,LAC,RB,24
25,Trevor Lawrence,JAC,QB,25
26,Nico Collins,HOU,WR,26
27,Brock Bowers,LVR,TE,27
28,Brock Purdy,SF,QB,28
29,Trey McBride,ARI,TE,29
30,Bo Nix,DEN,QB,30
31,Jaxson Dart,NYG,QB,31
32,Tetairoa McMillan,CAR,WR,32
33,James Cook,BUF,RB,33
34,George Pickens,DAL,WR,34
35,Emeka Egbuka,TB,WR,35
36,Dak Prescott,DAL,QB,36
37,TreVeyon Henderson,NE,RB,37
38,Kenneth Walker III,KC,RB,38
39,Breece Hall,NYJ,RB,39
40,Christian McCaffrey,SF,RB,40
42,Chris Olave,NO,WR,42
44,Colston Loveland,CHI,TE,44
45,Jordan Love,GB,QB,45
46,Zay Flowers,BAL,WR,46
47,C.J. Stroud,HOU,QB,47
48,Fernando Mendoza,LVR,QB,48
49,Saquon Barkley,PHI,RB,49
50,Garrett Wilson,NYJ,WR,50
51,Baker Mayfield,TB,QB,51
52,Kyler Murray,MIN,QB,52
53,Ladd McConkey,LAC,WR,53
54,Rashee Rice,KC,WR,54
55,Quinshon Judkins,CLE,RB,55
56,Tee Higgins,CIN,WR,56
57,Carnell Tate,TEN,WR,57
58,Jared Goff,DET,QB,58
59,Jordyn Tyson,NO,WR,59
60,Chase Brown,CIN,RB,60
61,Tyler Shough,NO,QB,61
62,Makai Lemon,PHI,WR,62
63,Josh Jacobs,GB,RB,63
64,Cameron Ward,TEN,QB,64
65,Sam Darnold,SEA,QB,65
66,DeVonta Smith,PHI,WR,66
67,Luther Burden III,CHI,WR,67
68,A.J. Brown,NE,WR,68
69,Bucky Irving,TB,RB,69
70,Jaylen Waddle,DEN,WR,70
71,Jameson Williams,DET,WR,71
74,Kyren Williams,LAR,RB,74
75,Tyler Warren,IND,TE,75
76,Harold Fannin Jr.,CLE,TE,76
77,Malik Willis,MIA,QB,77
78,Bryce Young,CAR,QB,78
79,Rome Odunze,CHI,WR,79
81,Matthew Stafford,LAR,QB,81
82,Jadarian Price,SEA,RB,82
84,Tucker Kraft,GB,TE,84
86,Daniel Jones,IND,QB,86
87,Cameron Skattebo,NYG,RB,87
89,Christian Watson,GB,WR,89
91,Ty Simpson,LAR,QB,91
94,KC Concepcion,CLE,WR,94
95,Derrick Henry,BAL,RB,95
96,Terry McLaurin,WAS,WR,96
97,Brian Thomas Jr.,JAC,WR,97
98,Javonte Williams,DAL,RB,98
99,Jordan Addison,MIN,WR,99
101,Kyle Pitts,ATL,TE,101
104,Tua Tagovailoa,ATL,QB,104
105,Travis Etienne,NO,RB,105
106,Marvin Harrison Jr.,ARI,WR,106
107,Shedeur Sanders,CLE,QB,107
109,Parker Washington,JAC,WR,109
110,D.J. Moore,BUF,WR,110
111,D.K. Metcalf,PIT,WR,111
113,Michael Wilson,ARI,WR,113
114,Davante Adams,LAR,WR,114
115,Mike Evans,SF,WR,115
116,Xavier Worthy,KC,WR,116
117,Michael Pittman Jr.,PIT,WR,117
118,Jayden Higgins,HOU,WR,118
119,Alec Pierce,IND,WR,119
120,Kenyon Sadiq,NYJ,TE,120
122,Sam LaPorta,DET,TE,122
123,Courtland Sutton,DEN,WR,123
125,Michael Penix Jr.,ATL,QB,125
126,Wan'Dale Robinson,TEN,WR,126
127,Khalil Shakir,BUF,WR,127
128,Bhayshul Tuten,JAC,RB,128
129,RJ Harvey,DEN,RB,129
130,D'Andre Swift,CHI,RB,130
132,Matthew Golden,GB,WR,132
133,Jaylen Warren,PIT,RB,133
135,Omar Cooper Jr.,NYJ,WR,135
137,Rhamondre Stevenson,NE,RB,137
139,David Montgomery,HOU,RB,139
140,Romeo Doubs,NE,WR,140
141,Zach Charbonnet,SEA,RB,141
143,Jayden Reed,GB,WR,143
145,Jakobi Meyers,JAC,WR,145
146,Josh Downs,IND,WR,146
147,Tony Pollard,TEN,RB,147
148,Dalton Kincaid,BUF,TE,148
149,Chuba Hubbard,CAR,RB,149
150,Chris Godwin,TB,WR,150
154,J.J. McCarthy,MIN,QB,154
155,Woody Marks,HOU,RB,155
156,Oronde Gadsden II,LAC,TE,156
157,Denzel Boston,CLE,WR,157
158,Quentin Johnston,LAC,WR,158
159,Jacory Croskey-Merritt,WAS,RB,159
161,Jake Ferguson,DAL,TE,161
162,Blake Corum,LAR,RB,162
163,J.K. Dobbins,DEN,RB,163
164,Tyjae Spears,TEN,RB,164
165,Jordan Mason,MIN,RB,165
166,Kyle Monangai,CHI,RB,166
169,Kenneth Gainwell,TB,RB,169
170,Eli Stowers,PHI,TE,170
171,De'Zhaun Stribling,SF,WR,171
172,Jonathon Brooks,CAR,RB,172
173,Rashid Shaheed,SEA,WR,173
174,Rico Dowdle,PIT,RB,174
176,George Kittle,SF,TE,176
178,Germie Bernard,PIT,WR,178
179,Ja'Kobi Lane,BAL,WR,179
180,Caleb Douglas,MIA,WR,180
181,Jalen Coker,CAR,WR,181
182,Braelon Allen,NYJ,RB,182
184,Tre Harris,LAC,WR,184
186,Isaiah Likely,NYG,TE,186
187,Jalen McMillan,TB,WR,187
189,Antonio Williams,WAS,WR,189
190,Brenton Strange,JAC,TE,190
193,Jacoby Brissett,ARI,QB,193
195,Mark Andrews,BAL,TE,195
197,Dallas Goedert,PHI,TE,197
200,Juwan Johnson,NO,TE,200
203,Terrance Ferguson,LAR,TE,203
207,Jaylin Noel,HOU,WR,207
208,Pat Bryant,DEN,WR,208
212,Elijah Arroyo,SEA,TE,212
213,Jonah Coleman,DEN,RB,213
215,Ted Hurst,TB,WR,215
216,Travis Kelce,KC,TE,216
219,AJ Barner,SEA,TE,219
220,Hunter Henry,NE,TE,220
224,Chigoziem Okonkwo,WAS,TE,224
225,Aaron Jones,MIN,RB,225
226,Tyrone Tracy Jr.,NYG,RB,226
227,Gunnar Helm,TEN,TE,227
230,Travis Hunter,JAC,WR,230
231,Stefon Diggs,WAS,WR,231
233,Kayshon Boutte,NE,WR,233
234,Cyrus Allen,KC,WR,234
235,Pat Freiermuth,PIT,TE,235
236,Troy Franklin,DEN,WR,236
237,Deshaun Watson,CLE,QB,237
238,Dalton Schultz,HOU,TE,238
244,Chris Rodriguez,JAC,RB,244
245,Jerry Jeudy,CLE,WR,245
246,Rachaad White,WAS,RB,246
250,MarShawn Lloyd,GB,RB,250
254,Elic Ayomanor,TEN,WR,254
255,Chris Bell,MIA,WR,255
256,Tyler Allgeier,ARI,RB,256
259,Jack Bech,LVR,WR,259
260,Nicholas Singleton,TEN,RB,260
261,Zachariah Branch,ATL,WR,261
262,Skyler Bell,BUF,WR,262
264,Cade Otton,TB,TE,264
265,Mike Washington Jr.,LVR,RB,265
267,Brian Robinson Jr.,ATL,RB,267
268,Tre Tucker,LVR,WR,268
270,Michael Mayer,LVR,TE,270
271,Jaydon Blue,DAL,RB,271
272,Jauan Jennings,MIN,WR,272
274,T.J. Hockenson,MIN,TE,274
275,Dontayvion Wicks,PHI,WR,275
276,Keaton Mitchell,LAC,RB,276
277,Emmett Johnson,KC,RB,277
283,Drew Allar,PIT,QB,283
284,Geno Smith,NYJ,QB,284
285,Anthony Richardson,IND,QB,285
287,Kaytron Allen,WAS,RB,287
288,David Njoku,LAC,TE,288
291,Tank Bigsby,PHI,RB,291
293,Carson Beck,ARI,QB,293
294,Malachi Fields,NYG,WR,294
296,Dylan Sampson,CLE,RB,296
297,Brenen Thompson,LAC,WR,297
298,Isiah Pacheco,DET,RB,298
305,Adonai Mitchell,NYJ,WR,305
307,Tory Horton,SEA,WR,307
309,Bryce Lance,NO,WR,309
312,Isaiah Davis,NYJ,RB,312
315,Ollie Gordon II,MIA,RB,315
316,LeQuint Allen,JAC,RB,316
318,Elijah Sarratt,BAL,WR,318
