"ADP","Position","Player","Team","FFPC","Sleeper","10-Team","12-Team"
"1","RB-01","Jahmyr Gibbs","DET","1","'-","1.01","1.01"
"2","QB-01","Josh Allen","BUF","2","'-","1.02","1.02"
"3","RB-02","Bijan Robinson","ATL","3","'-","1.03","1.03"
"4","WR-01","Ja'Marr Chase","CIN","4","'-","1.04","1.04"
"5","WR-02","Puka Nacua","LAR","5","'-","1.05","1.05"
"6","QB-02","Lamar Jackson","BAL","6","'-","1.06","1.06"
"7","QB-03","Drake Maye","NE","7","'-","1.07","1.07"
"8","RB-03","Christian McCaffrey","SF","8","'-","1.08","1.08"
"9","WR-03","Jaxon Smith-Njigba","SEA","9","'-","1.09","1.09"
"10","TE-01","Brock Bowers","LV","10","'-","1.10","1.10"
"11","QB-04","Jayden Daniels","WAS","11","'-","2.01","1.11"
"12","RB-04","Jonathan Taylor","IND","12","'-","2.02","1.12"
"13","WR-04","Amon-Ra St. Brown","DET","13","'-","2.03","2.01"
"14","QB-05","Joe Burrow","CIN","14","'-","2.04","2.02"
"15","RB-05","Ashton Jeanty","LV","15","'-","2.05","2.03"
"16","RB-06","James Cook","BUF","16","'-","2.06","2.04"
"17","QB-06","Jalen Hurts","PHI","17","'-","2.07","2.05"
"18","TE-02","Trey McBride","ARI","18","'-","2.08","2.06"
"19","WR-05","Justin Jefferson","MIN","19","'-","2.09","2.07"
"20","QB-07","Caleb Williams","CHI","20","'-","2.10","2.08"
"21","WR-06","CeeDee Lamb","DAL","21","'-","3.01","2.09"
"22","RB-07","Omarion Hampton","LAC","22","'-","3.02","2.10"
"23","QB-08","Justin Herbert","LAC","23","'-","3.03","2.11"
"24","RB-08","De'Von Achane","MIA","24","'-","3.04","2.12"
"25","RB-09","Chase Brown","CIN","25","'-","3.05","3.01"
"26","QB-09","Dak Prescott","DAL","26","'-","3.06","3.02"
"27","RB-10","Saquon Barkley","PHI","27","'-","3.07","3.03"
"28","QB-10","Trevor Lawrence","JAX","28","'-","3.08","3.04"
"29","RB-11","Kenneth Walker","KC","29","'-","3.09","3.05"
"30","WR-07","Drake London","ATL","30","'-","3.10","3.06"
"31","QB-11","Jaxson Dart","NYG","31","'-","4.01","3.07"
"32","RB-12","Derrick Henry","BAL","32","'-","4.02","3.08"
"33","WR-08","A.J. Brown","NE","33","'-","4.03","3.09"
"34","QB-12","Brock Purdy","SF","34","'-","4.04","3.10"
"35","TE-03","Colston Loveland","CHI","35","'-","4.05","3.11"
"36","QB-13","Patrick Mahomes","KC","36","'-","4.06","3.12"
"37","RB-13","Jeremiyah Love","ARI","37","'-","4.07","4.01"
"38","QB-14","Matthew Stafford","LAR","38","'-","4.08","4.02"
"39","WR-09","Nico Collins","HOU","39","'-","4.09","4.03"
"40","QB-15","Bo Nix","DEN","40","'-","4.10","4.04"
"41","RB-14","Breece Hall","NYJ","41","'-","5.01","4.05"
"42","QB-16","Jared Goff","DET","42","'-","5.02","4.06"
"43","WR-10","Rashee Rice","KC","43","'-","5.03","4.07"
"44","QB-17","Kyler Murray","MIN","44","'-","5.04","4.08"
"45","WR-11","George Pickens","DAL","45","'-","5.05","4.09"
"46","TE-04","Tyler Warren","IND","46","'-","5.06","4.10"
"47","QB-18","Tyler Shough","NO","47","'-","5.07","4.11"
"48","QB-19","Baker Mayfield","TB","48","'-","5.08","4.12"
"49","WR-12","Chris Olave","NO","49","'-","5.09","5.01"
"50","RB-15","Kyren Williams","LAR","50","'-","5.10","5.02"
"51","WR-13","DeVonta Smith","PHI","51","'-","6.01","5.03"
"52","QB-20","Jordan Love","GB","52","'-","6.02","5.04"
"53","RB-16","Javonte Williams","DAL","53","'-","6.03","5.05"
"54","RB-17","Cam Skattebo","NYG","54","'-","6.04","5.06"
"55","RB-18","Travis Etienne","NO","55","'-","6.05","5.07"
"56","WR-14","Zay Flowers","BAL","56","'-","6.06","5.08"
"57","RB-19","Josh Jacobs","GB","57","'-","6.07","5.09"
"58","QB-21","Malik Willis","MIA","58","'-","6.08","5.10"
"59","QB-22","Sam Darnold","SEA","59","'-","6.09","5.11"
"60","WR-15","Ladd McConkey","LAC","60","'-","6.10","5.12"
"61","WR-16","Emeka Egbuka","TB","61","'-","7.01","6.01"
"62","WR-17","Tee Higgins","CIN","62","'-","7.02","6.02"
"63","WR-18","Garrett Wilson","NYJ","63","'-","7.03","6.03"
"64","WR-19","Malik Nabers","NYG","64","'-","7.04","6.04"
"65","WR-20","Tetairoa McMillan","CAR","65","'-","7.05","6.05"
"66","RB-20","Quinshon Judkins","CLE","66","'-","7.06","6.06"
"67","QB-23","C.J. Stroud","HOU","67","'-","7.07","6.07"
"68","RB-21","D'Andre Swift","CHI","68","'-","7.08","6.08"
"69","QB-24","Daniel Jones","IND","69","'-","7.09","6.09"
"70","RB-22","David Montgomery","HOU","70","'-","7.10","6.10"
"71","WR-21","Luther Burden","CHI","71","'-","8.01","6.11"
"72","WR-22","Jaylen Waddle","DEN","72","'-","8.02","6.12"
"73","QB-25","Cam Ward","TEN","73","'-","8.03","7.01"
"74","TE-05","Tucker Kraft","GB","74","'-","8.04","7.02"
"75","WR-23","Terry McLaurin","WAS","75","'-","8.05","7.03"
"76","RB-23","Bhayshul Tuten","JAX","76","'-","8.06","7.04"
"77","RB-24","Bucky Irving","TB","77","'-","8.07","7.05"
"78","RB-25","TreVeyon Henderson","NE","78","'-","8.08","7.06"
"79","TE-06","Kyle Pitts","ATL","79","'-","8.09","7.07"
"80","QB-26","Bryce Young","CAR","80","'-","8.10","7.08"
"81","TE-07","Harold Fannin","CLE","81","'-","9.01","7.09"
"82","WR-24","D.J. Moore","BUF","82","'-","9.02","7.10"
"83","WR-25","Davante Adams","LAR","83","'-","9.03","7.11"
"84","TE-08","Sam LaPorta","DET","84","'-","9.04","7.12"
"85","RB-26","Jadarian Price","SEA","85","'-","9.05","8.01"
"86","WR-26","Mike Evans","SF","86","'-","9.06","8.02"
"87","WR-27","Jameson Williams","DET","87","'-","9.07","8.03"
"88","WR-28","Christian Watson","GB","88","'-","9.08","8.04"
"89","WR-29","Rome Odunze","CHI","89","'-","9.09","8.05"
"90","RB-27","Jaylen Warren","PIT","90","'-","9.10","8.06"
"91","WR-30","Carnell Tate","TEN","91","'-","10.01","8.07"
"92","RB-28","Tony Pollard","TEN","92","'-","10.02","8.08"
"93","QB-27","Aaron Rodgers","PIT","93","'-","10.03","8.09"
"94","TE-09","Travis Kelce","KC","94","'-","10.04","8.10"
"95","TE-10","George Kittle","SF","95","'-","10.05","8.11"
"96","WR-31","Brian Thomas Jr.","JAX","96","'-","10.06","8.12"
"97","QB-28","Jacoby Brissett","ARI","97","'-","10.07","9.01"
"98","QB-29","Fernando Mendoza","LV","98","'-","10.08","9.02"
"99","WR-32","Marvin Harrison Jr.","ARI","99","'-","10.09","9.03"
"100","RB-29","Chuba Hubbard","CAR","100","'-","10.10","9.04"
"101","RB-30","Rhamondre Stevenson","NE","101","'-","11.01","9.05"
"102","WR-33","Jordyn Tyson","NO","102","'-","11.02","9.06"
"103","TE-11","Isaiah Likely","NYG","103","'-","11.03","9.07"
"104","QB-30","Geno Smith","NYJ","104","'-","11.04","9.08"
"105","RB-31","Rico Dowdle","PIT","105","'-","11.05","9.09"
"106","WR-34","Parker Washington","JAX","106","'-","11.06","9.10"
"107","TE-12","Jake Ferguson","DAL","107","'-","11.07","9.11"
"108","WR-35","Alec Pierce","IND","108","'-","11.08","9.12"
"109","RB-32","RJ Harvey","DEN","109","'-","11.09","10.01"
"110","TE-13","Dallas Goedert","PHI","110","'-","11.10","10.02"
"111","RB-33","Kenneth Gainwell","TB","111","'-","12.01","10.03"
"112","RB-34","Rachaad White","WAS","112","'-","12.02","10.04"
"113","RB-35","Jonathon Brooks","CAR","113","'-","12.03","10.05"
"114","TE-14","Dalton Kincaid","BUF","114","'-","12.04","10.06"
"115","WR-36","Quentin Johnston","LAC","115","'-","12.05","10.07"
"116","WR-37","DK Metcalf","PIT","116","'-","12.06","10.08"
"117","TE-15","Mark Andrews","BAL","117","'-","12.07","10.09"
"118","WR-38","Courtland Sutton","DEN","118","'-","12.08","10.10"
