"Rank","Player","Team","Bye","POS","AVG"
"1","Jahmyr Gibbs","DET","6","RB1","1.5"
"2","Bijan Robinson","ATL","11","RB2","1.5"
"3","Ja'Marr Chase","CIN","6","WR1","4.5"
"4","Christian McCaffrey","SF","8","RB3","4.5"
"5","Jonathan Taylor","IND","13","RB4","5.0"
"6","Puka Nacua","LAR","11","WR2","6.5"
"7","James Cook III","BUF","7","RB5","7.0"
"8","Jaxon Smith-Njigba","SEA","11","WR3","8.0"
"9","De'Von Achane","MIA","6","RB6","9.0"
"10","Derrick Henry","BAL","13","RB7","13.0"
"11","Amon-Ra St. Brown","DET","6","WR4","13.0"
"12","Omarion Hampton","LAC","7","RB8","13.0"
"13","Ashton Jeanty","LV","13","RB9","14.0"
"14","CeeDee Lamb","DAL","14","WR5","14.0"
"15","Saquon Barkley","PHI","10","RB10","14.5"
"16","Chase Brown","CIN","6","RB11","15.0"
"17","Justin Jefferson","MIN","6","WR6","16.0"
"18","Josh Allen","BUF","7","QB1","18.0"
"19","Kenneth Walker III","KC","5","RB12","20.0"
"20","Drake London","ATL","11","WR7","21.0"
"21","Kyren Williams","LAR","11","RB13","21.5"
"22","Jeremiyah Love","ARI","14","RB14","23.0"
"23","Trey McBride","ARI","14","TE1","24.5"
"24","Nico Collins","HOU","8","WR8","25.5"
"25","A.J. Brown","NE","11","WR9","26.0"
"26","Brock Bowers","LV","13","TE2","26.0"
"27","George Pickens","DAL","14","WR10","26.0"
"28","Chris Olave","NO","8","WR11","26.5"
"29","Breece Hall","NYJ","13","RB15","29.0"
"30","Malik Nabers","NYG","8","WR12","29.0"
"31","Javonte Williams","DAL","14","RB16","29.5"
"32","Travis Etienne Jr.","NO","8","RB17","34.0"
"33","Lamar Jackson","BAL","13","QB2","35.5"
"34","Rashee Rice","KC","5","WR13","35.5"
"35","Bucky Irving","TB","10","RB18","37.0"
"36","Josh Jacobs","GB","11","RB19","37.5"
"37","Garrett Wilson","NYJ","13","WR14","38.5"
"38","Cam Skattebo","NYG","8","RB20","40.5"
"39","Quinshon Judkins","CLE","11","RB21","41.0"
"40","Tetairoa McMillan","CAR","5","WR15","42.5"
"41","Zay Flowers","BAL","13","WR16","43.0"
"42","Luther Burden III","CHI","10","WR17","43.0"
"43","Tee Higgins","CIN","6","WR18","43.5"
"44","D'Andre Swift","CHI","10","RB22","44.5"
