"Rank","Player","Team","Bye","POS","AVG"
"1","Josh Allen","BUF","7","QB1","1.33"
"2","Drake Maye","NE","11","QB2","2.75"
"3","Lamar Jackson","BAL","13","QB3","4.50"
"4","Jayden Daniels","WAS","7","QB4","5.17"
"5","Ja'Marr Chase","CIN","6","WR1","6.08"
"6","Caleb Williams","CHI","10","QB5","7.58"
"7","Joe Burrow","CIN","6","QB6","8.83"
"8","Jaxon Smith-Njigba","SEA","11","WR2","9.67"
"9","Jahmyr Gibbs","DET","6","RB1","9.83"
"10","Bijan Robinson","ATL","11","RB2","9.83"
"11","Puka Nacua","LAR","11","WR3","10.50"
"12","Justin Herbert","LAC","7","QB7","11.25"
"13","Jalen Hurts","PHI","10","QB8","14.83"
"14","Patrick Mahomes II","KC","5","QB9","14.92"
"15","Amon-Ra St. Brown","DET","6","WR4","15.25"
"16","Trevor Lawrence","JAC","7","QB10","16.58"
"17","Justin Jefferson","MIN","6","WR5","18.25"
"18","CeeDee Lamb","DAL","14","WR6","20.75"
"19","Ashton Jeanty","LV","13","RB3","20.92"
"20","Brock Purdy","SF","8","QB11","22.67"
"21","Malik Nabers","NYG","8","WR7","22.75"
"22","Jeremiyah Love","ARI","14","RB4","23.08"
"23","Drake London","ATL","11","WR8","24.08"
"24","Bo Nix","DEN","10","QB12","24.58"
"25","Jaxson Dart","NYG","8","QB13","25.17"
"26","De'Von Achane","MIA","6","RB5","28.08"
"27","James Cook III","BUF","7","RB6","28.25"
"28","Brock Bowers","LV","13","TE1","29.83"
"29","Omarion Hampton","LAC","7","RB7","30.25"
"30","Tetairoa McMillan","CAR","5","WR9","31.25"
"31","Dak Prescott","DAL","14","QB14","31.75"
"32","Jonathan Taylor","IND","13","RB8","32.67"
"33","Jordan Love","GB","11","QB15","32.92"
"34","George Pickens","DAL","14","WR10","33.42"
"35","Nico Collins","HOU","8","WR11","34.08"
"36","Kenneth Walker III","KC","5","RB9","36.58"
"37","Emeka Egbuka","TB","10","WR12","37.17"
"38","Chris Olave","NO","8","WR13","39.25"
"39","Trey McBride","ARI","14","TE2","40.58"
"40","Garrett Wilson","NYJ","13","WR14","41.58"
"41","Zay Flowers","BAL","13","WR15","44.33"
"42","Jared Goff","DET","6","QB16","44.50"
"43","Carnell Tate","TEN","9","WR16","45.75"
"44","DeVonta Smith","PHI","10","WR17","45.75"
"45","Luther Burden III","CHI","10","WR18","47.08"
"46","A.J. Brown","NE","11","WR19","47.33"
"47","Ladd McConkey","LAC","7","WR20","47.50"
"48","Colston Loveland","CHI","10","TE3","49.92"
"49","Chase Brown","CIN","6","RB10","50.67"
"50","Breece Hall","NYJ","13","RB11","50.83"
"51","Tee Higgins","CIN","6","WR21","51.17"
"52","Jaylen Waddle","DEN","10","WR22","54.42"
"53","Fernando Mendoza","LV","13","QB17","56.25"
"54","Rashee Rice","KC","5","WR23","56.33"
"55","Tyler Warren","IND","13","TE4","58.83"
"56","Makai Lemon","PHI","10","WR24","59.00"
"57","Rome Odunze","CHI","10","WR25","60.33"
"58","Baker Mayfield","TB","10","QB18","60.33"
"59","Christian McCaffrey","SF","8","RB12","61.17"
"60","Jordyn Tyson","NO","8","WR26","62.00"
"61","Cam Ward","TEN","9","QB19","62.08"
"62","Saquon Barkley","PHI","10","RB13","62.75"
"63","Tucker Kraft","GB","11","TE5","63.08"
"64","Jameson Williams","DET","6","WR27","63.17"
"65","C.J. Stroud","HOU","8","QB20","63.33"
"66","Tyler Shough","NO","8","QB21","64.17"
"67","Kyler Murray","MIN","6","QB22","66.25"
"68","Quinshon Judkins","CLE","11","RB14","67.92"
"69","Kyren Williams","LAR","11","RB15","68.42"
"70","Marvin Harrison Jr.","ARI","14","WR28","69.00"
"71","TreVeyon Henderson","NE","11","RB16","69.50"
"72","Harold Fannin Jr.","CLE","11","TE6","70.75"
"73","Sam LaPorta","DET","6","TE7","73.42"
"74","Kyle Pitts Sr.","ATL","11","TE8","73.83"
"75","Malik Willis","MIA","6","QB23","74.83"
"76","Christian Watson","GB","11","WR29","75.08"
"77","Brian Thomas Jr.","JAC","7","WR30","79.25"
"78","Bucky Irving","TB","10","RB17","79.67"
"79","Sam Darnold","SEA","11","QB24","80.33"
"80","Travis Etienne Jr.","NO","8","RB18","80.50"
"81","Javonte Williams","DAL","14","RB19","80.58"
"82","Cam Skattebo","NYG","8","RB20","83.25"
"83","Terry McLaurin","WAS","7","WR31","83.58"
"84","KC Concepcion","CLE","11","WR32","86.25"
"85","Matthew Stafford","LAR","11","QB25","86.67"
"86","DJ Moore","BUF","7","WR33","87.08"
"87","Jadarian Price","SEA","11","RB21","87.33"
"88","Parker Washington","JAC","7","WR34","88.50"
"89","Alec Pierce","IND","13","WR35","89.33"
"90","Daniel Jones","IND","13","QB26","91.00"
"91","Derrick Henry","BAL","13","RB22","91.75"
"92","Bryce Young","CAR","5","QB27","92.25"
"93","Isaiah Likely","NYG","8","TE9","94.92"
"94","Bhayshul Tuten","JAC","7","RB23","95.25"
"95","Jordan Addison","MIN","6","WR36","97.58"
"96","DK Metcalf","PIT","9","WR37","97.67"
"97","Kenyon Sadiq","NYJ","13","TE10","97.75"
"98","D'Andre Swift","CHI","10","RB24","101.25"
"99","Davante Adams","LAR","11","WR38","103.25"
"100","Dalton Kincaid","BUF","7","TE11","103.25"
"101","Wan'Dale Robinson","TEN","9","WR39","108.50"
"102","Michael Wilson","ARI","14","WR40","112.08"
"103","George Kittle","SF","8","TE12","112.33"
"104","Josh Downs","IND","13","WR41","112.67"
"105","Mike Evans","SF","8","WR42","113.17"
"106","Quentin Johnston","LAC","7","WR43","113.33"
"107","David Montgomery","HOU","8","RB25","113.42"
"108","Eli Stowers","PHI","10","TE13","113.50"
"109","Michael Pittman Jr.","PIT","9","WR44","113.83"
"110","Denzel Boston","CLE","11","WR45","114.58"
"111","Josh Jacobs","GB","11","RB26","116.83"
"112","Xavier Worthy","KC","5","WR46","117.83"
"113","Courtland Sutton","DEN","10","WR47","118.75"
"114","Jayden Reed","GB","11","WR48","119.00"
"115","Omar Cooper Jr.","NYJ","13","WR49","121.00"
"116","Jake Ferguson","DAL","14","TE14","123.58"
"117","Chris Godwin Jr.","TB","10","WR50","123.92"
"118","Jakobi Meyers","JAC","7","WR51","125.67"
"119","Matthew Golden","GB","11","WR52","125.75"
"120","Jaylen Warren","PIT","9","RB27","126.58"
"121","Ty Simpson","LAR","11","QB28","106.64"
"122","Brenton Strange","JAC","7","TE15","127.58"
"123","Blake Corum","LAR","11","RB28","128.00"
"124","Jalen Coker","CAR","5","WR53","130.00"
"125","RJ Harvey","DEN","10","RB29","133.50"
"126","Jonathon Brooks","CAR","5","RB30","135.00"
"127","Romeo Doubs","NE","11","WR54","135.92"
"128","Dallas Goedert","PHI","10","TE16","137.17"
"129","Kyle Monangai","CHI","10","RB31","137.42"
"130","Jayden Higgins","HOU","8","WR55","120.55"
"131","Khalil Shakir","BUF","7","WR56","141.58"
"132","Michael Penix Jr.","ATL","11","QB29","123.82"
"133","Terrance Ferguson","LAR","11","TE17","143.08"
"134","Oronde Gadsden II","LAC","7","TE18","143.42"
"135","Rhamondre Stevenson","NE","11","RB32","145.25"
