"Rank","Player","Team","Bye","POS","AVG"
"1","Jahmyr Gibbs","DET","6","RB1","1.0"
"2","Bijan Robinson","ATL","11","RB2","2.0"
"3","Ja'Marr Chase","CIN","6","WR1","3.0"
"4","Puka Nacua","LAR","11","WR2","4.7"
"5","Christian McCaffrey","SF","8","RB3","4.7"
"6","Jonathan Taylor","IND","13","RB4","6.0"
"7","Jaxon Smith-Njigba","SEA","11","WR3","7.3"
"8","Amon-Ra St. Brown","DET","6","WR4","7.7"
"9","James Cook III","BUF","7","RB5","8.7"
"10","CeeDee Lamb","DAL","14","WR5","11.3"
"11","Saquon Barkley","PHI","10","RB6","12.0"
"12","De'Von Achane","MIA","6","RB7","12.0"
"13","Justin Jefferson","MIN","6","WR6","12.0"
"14","Chase Brown","CIN","6","RB8","14.7"
"15","Omarion Hampton","LAC","7","RB9","15.7"
"16","Kenneth Walker III","KC","5","RB10","15.7"
"17","Ashton Jeanty","LV","13","RB11","15.7"
"18","Derrick Henry","BAL","13","RB12","17.3"
"19","Josh Allen","BUF","7","QB1","20.0"
"20","A.J. Brown","NE","11","WR7","20.3"
"21","Drake London","ATL","11","WR8","20.3"
"22","Brock Bowers","LV","13","TE1","22.0"
"23","Nico Collins","HOU","8","WR9","23.3"
"24","George Pickens","DAL","14","WR10","23.7"
"25","Trey McBride","ARI","14","TE2","25.7"
"26","Kyren Williams","LAR","11","RB13","27.0"
"27","Chris Olave","NO","8","WR11","27.3"
"28","Jeremiyah Love","ARI","14","RB14","28.0"
"29","Malik Nabers","NYG","8","WR12","28.3"
"30","Javonte Williams","DAL","14","RB15","30.3"
"31","DeVonta Smith","PHI","10","WR13","31.7"
"32","Breece Hall","NYJ","13","RB16","31.7"
"33","Rashee Rice","KC","5","WR14","33.0"
"34","Zay Flowers","BAL","13","WR15","37.0"
"35","Travis Etienne Jr.","NO","8","RB17","38.0"
"36","Cam Skattebo","NYG","8","RB18","39.0"
"37","Lamar Jackson","BAL","13","QB2","39.3"
"38","Tee Higgins","CIN","6","WR16","40.0"
"39","Josh Jacobs","GB","11","RB19","41.0"
"40","Tetairoa McMillan","CAR","5","WR17","41.0"
"41","Ladd McConkey","LAC","7","WR18","41.0"
"42","Colston Loveland","CHI","10","TE3","41.3"
"43","Emeka Egbuka","TB","10","WR19","43.0"
"44","Garrett Wilson","NYJ","13","WR20","43.7"
"45","D'Andre Swift","CHI","10","RB20","44.3"
"46","Jaylen Waddle","DEN","10","WR21","45.3"
"47","Quinshon Judkins","CLE","11","RB21","45.7"
"48","Bucky Irving","TB","10","RB22","47.3"
"49","David Montgomery","HOU","8","RB23","47.3"
"50","DJ Moore","BUF","7","WR22","47.7"
"51","Tyler Warren","IND","13","TE4","50.7"
