"Rank","Player","Team","Bye","POS","AVG"
"1","Josh Allen","BUF","7","QB1","1.03"
"2","Lamar Jackson","BAL","13","QB2","2.61"
"3","Drake Maye","NE","11","QB3","3.55"
"4","Joe Burrow","CIN","6","QB4","4.67"
"5","Jayden Daniels","WAS","7","QB5","6.71"
"6","Jalen Hurts","PHI","10","QB6","6.88"
"7","Jahmyr Gibbs","DET","6","RB1","7.84"
"8","Caleb Williams","CHI","10","QB7","9.62"
"9","Bijan Robinson","ATL","11","RB2","10.18"
"10","Ja'Marr Chase","CIN","6","WR1","10.43"
"11","Justin Herbert","LAC","7","QB8","11.40"
"12","Puka Nacua","LAR","11","WR2","12.71"
"13","Jaxon Smith-Njigba","SEA","11","WR3","14.20"
"14","Dak Prescott","DAL","14","QB9","15.03"
"15","Trevor Lawrence","JAC","7","QB10","15.13"
"16","Amon-Ra St. Brown","DET","6","WR4","15.15"
"17","Jonathan Taylor","IND","13","RB3","16.54"
"18","James Cook III","BUF","7","RB4","20.96"
"19","CeeDee Lamb","DAL","14","WR5","21.89"
"20","Christian McCaffrey","SF","8","RB5","22.82"
"21","Brock Purdy","SF","8","QB11","22.90"
"22","Bo Nix","DEN","10","QB12","23.80"
"23","Justin Jefferson","MIN","6","WR6","24.50"
"24","Jaxson Dart","NYG","8","QB13","25.48"
"25","A.J. Brown","NE","11","WR7","27.56"
"26","Patrick Mahomes II","KC","5","QB14","28.59"
"27","Derrick Henry","BAL","13","RB6","29.78"
"28","Drake London","ATL","11","WR8","30.86"
"29","Saquon Barkley","PHI","10","RB7","31.43"
"30","Jared Goff","DET","6","QB15","31.48"
"31","Nico Collins","HOU","8","WR9","31.55"
"32","Matthew Stafford","LAR","11","QB16","32.30"
"33","Brock Bowers","LV","13","TE1","33.88"
"34","George Pickens","DAL","14","WR10","35.31"
"35","Chase Brown","CIN","6","RB8","35.38"
"36","Kenneth Walker III","KC","5","RB9","35.89"
"37","Kyler Murray","MIN","6","QB17","38.40"
"38","Omarion Hampton","LAC","7","RB10","39.15"
"39","De'Von Achane","MIA","6","RB11","39.80"
"40","Chris Olave","NO","8","WR11","41.43"
"41","Trey McBride","ARI","14","TE2","42.56"
"42","Malik Nabers","NYG","8","WR12","43.03"
"43","Jordan Love","GB","11","QB18","43.91"
"44","Ashton Jeanty","LV","13","RB12","45.54"
"45","Baker Mayfield","TB","10","QB19","45.99"
"46","Zay Flowers","BAL","13","WR13","47.29"
"47","Kyren Williams","LAR","11","RB13","48.26"
"48","DeVonta Smith","PHI","10","WR14","49.20"
"49","Tee Higgins","CIN","6","WR15","49.21"
"50","Javonte Williams","DAL","14","RB14","49.69"
"51","Rashee Rice","KC","5","WR16","50.78"
"52","Tyler Shough","NO","8","QB20","51.03"
"53","Malik Willis","MIA","6","QB21","52.57"
"54","Colston Loveland","CHI","10","TE3","53.01"
"55","Emeka Egbuka","TB","10","WR17","56.02"
"56","Tetairoa McMillan","CAR","5","WR18","56.44"
"57","Ladd McConkey","LAC","7","WR19","58.34"
"58","Jaylen Waddle","DEN","10","WR20","58.52"
"59","Breece Hall","NYJ","13","RB15","58.53"
"60","Sam Darnold","SEA","11","QB22","62.10"
"61","Jeremiyah Love","ARI","14","RB16","63.68"
"62","Travis Etienne Jr.","NO","8","RB17","63.85"
"63","C.J. Stroud","HOU","8","QB23","63.87"
"64","Daniel Jones","IND","13","QB24","64.85"
"65","D'Andre Swift","CHI","10","RB18","65.64"
"66","Davante Adams","LAR","11","WR21","66.78"
"67","Jameson Williams","DET","6","WR22","66.81"
"68","Garrett Wilson","NYJ","13","WR23","67.83"
"69","Terry McLaurin","WAS","7","WR24","69.20"
"70","Cam Ward","TEN","9","QB25","70.55"
"71","Christian Watson","GB","11","WR25","70.77"
"72","Luther Burden III","CHI","10","WR26","73.34"
"73","Quinshon Judkins","CLE","11","RB19","73.97"
"74","Bucky Irving","TB","10","RB20","74.18"
"75","David Montgomery","HOU","8","RB21","74.53"
"76","Cam Skattebo","NYG","8","RB22","74.91"
"77","Rome Odunze","CHI","10","WR27","76.78"
"78","Bryce Young","CAR","5","QB26","76.87"
"79","DJ Moore","BUF","7","WR28","77.05"
"80","Jadarian Price","SEA","11","RB23","78.30"
"81","Bhayshul Tuten","JAC","7","RB24","79.46"
"82","Tucker Kraft","GB","11","TE4","79.73"
"83","Tyler Warren","IND","13","TE5","79.98"
"84","Mike Evans","SF","8","WR29","81.12"
"85","Jacoby Brissett","ARI","14","QB27","84.64"
"86","TreVeyon Henderson","NE","11","RB25","87.52"
"87","Parker Washington","JAC","7","WR30","88.79"
"88","Rhamondre Stevenson","NE","11","RB26","92.52"
"89","Marvin Harrison Jr.","ARI","14","WR31","93.54"
"90","Aaron Rodgers","PIT","9","QB28","91.73"
"91","Carnell Tate","TEN","9","WR32","96.90"
"92","Brian Thomas Jr.","JAC","7","WR33","97.74"
"93","Jaylen Warren","PIT","9","RB27","97.96"
"94","Tony Pollard","TEN","9","RB28","98.45"
"95","DK Metcalf","PIT","9","WR34","98.88"
"96","Geno Smith","NYJ","13","QB29","96.97"
"97","Sam LaPorta","DET","6","TE6","100.11"
"98","Jonathon Brooks","CAR","5","RB29","101.31"
"99","Rico Dowdle","PIT","9","RB30","101.34"
"100","J.K. Dobbins","DEN","10","RB31","103.69"
"101","Quentin Johnston","LAC","7","WR35","104.24"
"102","Blake Corum","LAR","11","RB32","104.49"
"103","Courtland Sutton","DEN","10","WR36","104.93"
"104","Alec Pierce","IND","13","WR37","105.94"
"105","Kyle Pitts Sr.","ATL","11","TE7","107.27"
"106","MarShawn Lloyd","GB","11","RB33","105.70"
"107","Chris Godwin Jr.","TB","10","WR38","108.34"
"108","Harold Fannin Jr.","CLE","11","TE8","108.90"
"109","George Kittle","SF","8","TE9","109.39"
"110","Jacory Croskey-Merritt","WAS","7","RB34","109.61"
"111","Jordan Mason","MIN","6","RB35","110.28"
"112","Chuba Hubbard","CAR","5","RB36","115.72"
"113","Dalton Kincaid","BUF","7","TE10","115.72"
"114","Michael Wilson","ARI","14","WR39","116.49"
"115","Jordan Addison","MIN","6","WR40","117.88"
"116","Kyle Monangai","CHI","10","RB37","119.85"
"117","Jayden Reed","GB","11","WR41","120.09"
"118","Michael Pittman Jr.","PIT","9","WR42","121.80"
"119","Travis Kelce","KC","5","TE11","122.81"
"120","RJ Harvey","DEN","10","RB38","125.33"
"121","Makai Lemon","PHI","10","WR43","125.68"
"122","Dallas Goedert","PHI","10","TE12","126.96"
"123","Isaiah Likely","NYG","8","TE13","128.48"
"124","Josh Downs","IND","13","WR44","128.49"
"125","Rachaad White","WAS","7","RB39","128.71"
"126","Kenny Gainwell","TB","10","RB40","128.78"
"127","Chris Rodriguez Jr.","JAC","7","RB41","129.17"
"128","Stefon Diggs","WAS","7","WR45","125.57"
"129","Jakobi Meyers","JAC","7","WR46","132.19"
"130","Xavier Worthy","KC","5","WR47","133.65"
"131","Mark Andrews","BAL","13","TE14","134.66"
"132","Wan'Dale Robinson","TEN","9","WR48","135.38"
"133","Aaron Jones Sr.","MIN","6","RB42","135.67"
"134","KC Concepcion","CLE","11","WR49","135.80"
"135","Romeo Doubs","NE","11","WR50","136.96"
"136","Matthew Golden","GB","11","WR51","137.70"
"137","Fernando Mendoza","LV","13","QB30","126.26"
"138","De'Zhaun Stribling","SF","8","WR52","138.59"
"139","Tyler Allgeier","ARI","14","RB43","140.23"
"140","Josh Jacobs","GB","11","RB44","132.15"
"141","Woody Marks","HOU","8","RB45","143.00"
"142","Jake Ferguson","DAL","14","TE15","143.99"
"143","Jalen Coker","CAR","5","WR53","145.74"
"144","Juwan Johnson","NO","8","TE16","146.51"
"145","Jordyn Tyson","NO","8","WR54","148.53"
"146","Rashid Shaheed","SEA","11","WR55","148.77"
"147","Deebo Samuel Sr.","SF","8","WR56","149.08"
"148","Keaton Mitchell","LAC","7","RB46","151.38"
"149","Tank Bigsby","PHI","10","RB47","151.94"
"150","Zach Charbonnet","SEA","11","RB48","152.37"
"151","Jonah Coleman","DEN","10","RB49","153.24"
"152","Khalil Shakir","BUF","7","WR57","154.54"
"153","Mike Washington Jr.","LV","13","RB50","154.15"
"154","Tyjae Spears","TEN","9","RB51","160.14"
"155","Hunter Henry","NE","11","TE17","160.39"
"156","Brian Robinson Jr.","ATL","11","RB52","159.67"
"157","Michael Penix Jr.","ATL","11","QB31","146.98"
"158","Braelon Allen","NYJ","13","RB53","163.32"
"159","Isiah Pacheco","DET","6","RB54","165.44"
"160","Tua Tagovailoa","ATL","11","QB32","143.33"
"161","Brenton Strange","JAC","7","TE18","165.68"
"162","Denzel Boston","CLE","11","WR58","166.34"
"163","Dylan Sampson","CLE","11","RB55","169.85"
"164","Tre Tucker","LV","13","WR59","169.43"
"165","Tyrone Tracy Jr.","NYG","8","RB56","171.38"
"166","Chig Okonkwo","WAS","7","TE19","172.57"
"167","Kayshon Boutte","HOU","8","WR60","172.85"
"168","Adonai Mitchell","NYJ","13","WR61","174.04"
"169","Terrance Ferguson","LAR","11","TE20","173.46"
"170","Alvin Kamara","NO","8","RB57","177.60"
"171","Jalen McMillan","TB","10","WR62","176.76"
"172","Jerry Jeudy","CLE","11","WR63","180.76"
"173","Emmett Johnson","KC","5","RB58","179.15"
"174","Jauan Jennings","MIN","6","WR64","176.35"
"175","Dalton Schultz","HOU","8","TE21","182.71"
"176","Ray Davis","BUF","7","RB59","184.03"
"177","Deshaun Watson","CLE","11","QB33","156.86"
"178","Kirk Cousins","LV","13","QB34","156.88"
"179","Dontayvion Wicks","PHI","10","WR65","186.32"
"180","Tre' Harris","LAC","7","WR66","188.31"
"181","Jalen Nailor","LV","13","WR67","188.71"
"182","Ryan Flournoy","DAL","14","WR68","188.76"
"183","Omar Cooper Jr.","NYJ","13","WR69","190.64"
"184","Oronde Gadsden II","LAC","7","TE22","189.01"
"185","AJ Barner","SEA","11","TE23","191.39"
"186","Kimani Vidal","LAC","7","RB60","189.79"
"187","Calvin Ridley","TEN","9","WR70","193.76"
"188","Nicholas Singleton","TEN","9","RB61","194.91"
"189","Pat Bryant","DEN","10","WR71","194.12"
"190","Travis Hunter","JAC","7","WR72","192.80"
"191","Kenyon Sadiq","NYJ","13","TE24","200.11"
"192","Malik Washington","MIA","6","WR73","197.98"
"193","Rashod Bateman","BAL","13","WR74","201.55"
"194","Kaelon Black","SF","8","RB62","198.89"
"195","Sean Tucker","TB","10","RB63","199.90"
"196","Keenan Allen","IND","13","WR75","200.04"
"197","Kaytron Allen","WAS","7","RB64","200.77"
"198","T.J. Hockenson","MIN","6","TE25","208.39"
"199","Jaylin Noel","HOU","8","WR76","199.07"
"200","Isaac TeSlaa","DET","6","WR77","200.36"
"201","Shedeur Sanders","CLE","11","QB35","173.81"
"202","Pat Freiermuth","PIT","9","TE26","212.88"
"203","Jaylen Wright","MIA","6","RB65","207.87"
"204","Emanuel Wilson","SEA","11","RB66","203.98"
"205","Darnell Mooney","NYG","8","WR78","208.91"
"206","Ja'Kobi Lane","BAL","13","WR79","199.51"
"207","Gunnar Helm","TEN","9","TE27","217.47"
"208","Malik Davis","DAL","14","RB67","207.62"
"209","James Conner","ARI","14","RB68","211.58"
"210","Cooper Kupp","SEA","11","WR80","216.32"
"211","George Holani","SEA","11","RB69","214.08"
"212","Tank Dell","HOU","8","WR81","210.99"
"213","Najee Harris","NYG","8","RB70","211.22"
"214","Troy Franklin","DEN","10","WR82","209.98"
"215","Cade Otton","TB","10","TE28","222.84"
"216","Zachariah Branch","ATL","11","WR83","220.32"
"217","David Njoku","LAC","7","TE29","225.43"
"218","Germie Bernard","PIT","9","WR84","222.14"
"219","Antonio Williams","WAS","7","WR85","223.10"
"220","Greg Dulcich","MIA","6","TE30","204.92"
"221","Keon Coleman","BUF","7","WR86","223.35"
"222","Malachi Fields","NYG","8","WR87","218.18"
"223","Caleb Douglas","MIA","6","WR88","202.68"
"224","Chris Brooks","GB","11","RB71","222.75"
"225","Demond Claiborne","MIN","6","RB72","220.05"
"226","Ollie Gordon II","MIA","6","RB73","220.90"
"227","Chris Bell","MIA","6","WR89","222.48"
"228","Kaleb Johnson","GB","11","RB74","211.27"
"229","Evan Engram","DEN","10","TE31","235.95"
"230","Colby Parkinson","LAR","11","TE32","233.62"
"231","Jordan James","SF","8","RB75","228.43"
