"Rank","Player","Team","Bye","POS","AVG"
"1","Jahmyr Gibbs","DET","6","RB1","1.42"
"2","Ja'Marr Chase","CIN","6","WR1","2.47"
"3","Bijan Robinson","ATL","11","RB2","2.63"
"4","Puka Nacua","LAR","11","WR2","4.41"
"5","Jaxon Smith-Njigba","SEA","11","WR3","6.04"
"6","Amon-Ra St. Brown","DET","6","WR4","6.80"
"7","Jonathan Taylor","IND","13","RB3","7.11"
"8","James Cook III","BUF","7","RB4","9.99"
"9","CeeDee Lamb","DAL","14","WR5","10.01"
"10","Christian McCaffrey","SF","8","RB5","10.52"
"11","Justin Jefferson","MIN","6","WR6","12.08"
"12","A.J. Brown","NE","11","WR7","14.47"
"13","Derrick Henry","BAL","13","RB6","15.87"
"14","Drake London","ATL","11","WR8","16.65"
"15","Nico Collins","HOU","8","WR9","16.87"
"16","Saquon Barkley","PHI","10","RB7","17.54"
"17","Brock Bowers","LV","13","TE1","18.37"
"18","George Pickens","DAL","14","WR10","20.09"
"19","Chase Brown","CIN","6","RB8","20.55"
"20","Kenneth Walker III","KC","5","RB9","20.97"
"21","Omarion Hampton","LAC","7","RB10","23.88"
"22","De'Von Achane","MIA","6","RB11","24.17"
"23","Chris Olave","NO","8","WR11","25.01"
"24","Josh Allen","BUF","7","QB1","25.14"
"25","Trey McBride","ARI","14","TE2","25.44"
"26","Malik Nabers","NYG","8","WR12","27.13"
"27","Ashton Jeanty","LV","13","RB12","29.91"
"28","Lamar Jackson","BAL","13","QB2","30.48"
"29","Zay Flowers","BAL","13","WR13","30.87"
"30","Kyren Williams","LAR","11","RB13","32.44"
"31","DeVonta Smith","PHI","10","WR14","32.95"
"32","Tee Higgins","CIN","6","WR15","33.08"
"33","Javonte Williams","DAL","14","RB14","33.78"
"34","Rashee Rice","KC","5","WR16","33.97"
"35","Drake Maye","NE","11","QB3","35.35"
"36","Colston Loveland","CHI","10","TE3","36.92"
"37","Emeka Egbuka","TB","10","WR17","39.39"
"38","Tetairoa McMillan","CAR","5","WR18","39.41"
"39","Ladd McConkey","LAC","7","WR19","41.08"
"40","Breece Hall","NYJ","13","RB15","41.35"
"41","Jaylen Waddle","DEN","10","WR20","41.43"
"42","Joe Burrow","CIN","6","QB4","42.96"
"43","Travis Etienne Jr.","NO","8","RB16","45.34"
"44","Jeremiyah Love","ARI","14","RB17","45.44"
"45","D'Andre Swift","CHI","10","RB18","46.98"
"46","Davante Adams","LAR","11","WR21","47.72"
"47","Jameson Williams","DET","6","WR22","47.89"
"48","Garrett Wilson","NYJ","13","WR23","48.39"
"49","Terry McLaurin","WAS","7","WR24","50.17"
"50","Christian Watson","GB","11","WR25","51.18"
"51","Jayden Daniels","WAS","7","QB5","52.04"
"52","Luther Burden III","CHI","10","WR26","53.96"
"53","Quinshon Judkins","CLE","11","RB19","54.11"
"54","Bucky Irving","TB","10","RB20","54.27"
"55","Cam Skattebo","NYG","8","RB21","54.86"
"56","David Montgomery","HOU","8","RB22","54.98"
"57","Jalen Hurts","PHI","10","QB6","55.78"
"58","Rome Odunze","CHI","10","WR27","56.78"
"59","DJ Moore","BUF","7","WR28","57.76"
"60","Jadarian Price","SEA","11","RB23","58.67"
"61","Bhayshul Tuten","JAC","7","RB24","59.33"
"62","Tucker Kraft","GB","11","TE4","59.67"
"63","Tyler Warren","IND","13","TE5","59.93"
"64","Mike Evans","SF","8","WR29","61.32"
"65","Caleb Williams","CHI","10","QB7","63.51"
"66","TreVeyon Henderson","NE","11","RB25","67.34"
"67","Justin Herbert","LAC","7","QB8","68.46"
"68","Parker Washington","JAC","7","WR30","69.44"
"69","Rhamondre Stevenson","NE","11","RB26","72.84"
"70","Marvin Harrison Jr.","ARI","14","WR31","74.05"
"71","Trevor Lawrence","JAC","7","QB9","75.94"
"72","Dak Prescott","DAL","14","QB10","76.41"
"73","Carnell Tate","TEN","9","WR32","77.87"
"74","Jaylen Warren","PIT","9","RB27","78.59"
"75","Brian Thomas Jr.","JAC","7","WR33","78.60"
"76","Tony Pollard","TEN","9","RB28","79.09"
"77","DK Metcalf","PIT","9","WR34","79.67"
"78","Sam LaPorta","DET","6","TE6","80.94"
"79","Jonathon Brooks","CAR","5","RB29","82.42"
"80","Rico Dowdle","PIT","9","RB30","82.48"
"81","J.K. Dobbins","DEN","10","RB31","84.96"
"82","Quentin Johnston","LAC","7","WR35","85.72"
"83","Blake Corum","LAR","11","RB32","85.75"
"84","Courtland Sutton","DEN","10","WR36","86.64"
"85","Alec Pierce","IND","13","WR37","88.26"
"86","Kyle Pitts Sr.","ATL","11","TE7","88.80"
"87","Chris Godwin Jr.","TB","10","WR38","90.72"
"88","Harold Fannin Jr.","CLE","11","TE8","90.77"
"89","Jacory Croskey-Merritt","WAS","7","RB33","91.69"
"90","George Kittle","SF","8","TE9","91.87"
"91","MarShawn Lloyd","GB","11","RB34","88.78"
"92","Jordan Mason","MIN","6","RB35","92.94"
"93","Brock Purdy","SF","8","QB11","95.45"
"94","Bo Nix","DEN","10","QB12","96.34"
"95","Jaxson Dart","NYG","8","QB13","97.24"
"96","Dalton Kincaid","BUF","7","TE10","99.03"
"97","Chuba Hubbard","CAR","5","RB36","99.52"
"98","Michael Wilson","ARI","14","WR39","100.16"
"99","Patrick Mahomes II","KC","5","QB14","102.02"
"100","Jordan Addison","MIN","6","WR40","102.02"
"101","Kyle Monangai","CHI","10","RB37","104.11"
"102","Jayden Reed","GB","11","WR41","104.37"
"103","Jared Goff","DET","6","QB15","105.26"
"104","Matthew Stafford","LAR","11","QB16","106.01"
"105","Michael Pittman Jr.","PIT","9","WR42","107.04"
"106","Travis Kelce","KC","5","TE11","107.98"
"107","RJ Harvey","DEN","10","RB38","111.06"
"108","Makai Lemon","PHI","10","WR43","111.18"
"109","Dallas Goedert","PHI","10","TE12","112.85"
"110","Kyler Murray","MIN","6","QB17","113.91"
"111","Josh Downs","IND","13","WR44","114.44"
"112","Chris Rodriguez Jr.","JAC","7","RB39","114.95"
"113","Kenny Gainwell","TB","10","RB40","115.07"
"114","Isaiah Likely","NYG","8","TE13","115.19"
"115","Rachaad White","WAS","7","RB41","115.38"
"116","Stefon Diggs","WAS","7","WR45","111.03"
