Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	16162	Gibbs, Jahmyr	DET	RB	1.68	1	34		911		
2	16161	Robinson, Bijan	ATL	RB	2.49	1	11		901		
3	15281	Chase, Ja'Marr	CIN	WR	4.33	1	49		906		
4	14802	Taylor, Jonathan	IND	RB	6.66	1	50		933		
5	13589	Allen, Josh	BUF	QB	7.23	1	94		877		
6	16211	Nacua, Puka	LAR	WR	7.85	1	138		788		
7	13130	McCaffrey, Christian	SFO	RB	8.22	1	72		955		
8	16185	Smith-Njigba, Jaxon	SEA	WR	8.34	1	144		782		
9	15715	Cook, James	BUF	RB	9.41	1	79		917		
10	15287	St. Brown, Amon-Ra	DET	WR	9.64	1	155		896		
11	14832	Lamb, CeeDee	DAL	WR	13.62	1	52		970		
12	13604	Barkley, Saquon	PHI	RB	13.62	1	85		1003		
13	16167	Achane, De'Von	MIA	RB	14.79	1	118		842		
14	14836	Jefferson, Justin	MIN	WR	15.19	1	53		973		
15	16181	Brown, Chase	CIN	RB	15.86	1	109		857		
16	12626	Henry, Derrick	BAL	RB	15.95	1	104		1008		
17	17044	Hampton, Omarion	LAC	RB	19.02	1	118		948		
18	17042	Jeanty, Ashton	LVR	RB	20.03	1	117		929		
19	15711	Walker III, Kenneth	KCC	RB	20.10	1	89		987		
20	14104	Brown, A.J.	NEP	WR	21.17	1	74		1013		
21	17472	Love, Jeremiyah	ARI	RB	23.44	1	138		1331		
22	15751	London, Drake	ATL	WR	23.51	1	109		997		
23	16641	Bowers, Brock	LVR	TE	23.85	1	78		858		
24	15794	McBride, Trey	ARI	TE	24.17	1	139		878		
25	15710	Williams, Kyren	LAR	RB	24.59	2	112		953		
26	15290	Collins, Nico	HOU	WR	26.02	1	114		954		
27	13593	Jackson, Lamar	BAL	QB	26.21	1	109		956		
28	15762	Pickens, George	DAL	WR	26.70	2	87		906		
29	16580	Maye, Drake	NEP	QB	30.55	1	155		820		
30	16194	Rice, Rashee	KCC	WR	31.04	1	138		877		
31	14777	Burrow, Joe	CIN	QB	31.38	1	143		1012		
32	16615	Nabers, Malik	NYG	WR	31.74	3	134		999		
33	15256	Williams, Javonte	DAL	RB	31.95	1	140		894		
34	15754	Olave, Chris	NOS	WR	34.08	1	127		928		
35	15282	Smith, DeVonta	PHI	WR	35.40	1	128		997		
36	15253	Etienne, Travis	NOS	RB	35.91	2	130		932		
37	15708	Hall, Breece	NYJ	RB	37.53	1	132		1035		
38	14835	Higgins, Tee	CIN	WR	37.64	3	124		1063		
39	16190	Flowers, Zay	BAL	WR	38.62	2	130		965		
40	17045	Skattebo, Cam	NYG	RB	40.86	1	142		875		
41	14797	Swift, D'Andre	CHI	RB	42.13	1	131		1065		
42	17071	McMillan, Tetairoa	CAR	WR	42.21	2	139		974		
43	14073	Jacobs, Josh	GBP	RB	42.23	1	191		1013		
44	17104	Loveland, Colston	CHI	TE	43.64	4	198		908		
45	16627	McConkey, Ladd	LAC	WR	43.71	3	130		964		
46	15753	Wilson, Garrett	NYJ	WR	44.78	6	140		1016		
47	11675	Adams, Davante	LAR	WR	45.48	4	135		1059		
48	17473	Price, Jadarian	SEA	RB	45.79	1	197		1357		
49	16598	Irving, Bucky	TBB	RB	46.57	3	143		962		
50	17081	Egbuka, Emeka	TBB	WR	46.79	2	140		910		
51	15284	Waddle, Jaylen	DEN	WR	48.66	3	151		1028		
52	14783	Hurts, Jalen	PHI	QB	49.13	2	147		1034		
53	16581	Daniels, Jayden	WAS	QB	49.54	1	183		1001		
54	16579	Williams, Caleb	CHI	QB	49.84	2	155		939		
55	14071	Montgomery, David	HOU	RB	51.82	3	183		1044		
56	13635	Moore, D.J.	BUF	WR	52.68	3	180		1065		
57	14109	McLaurin, Terry	WAS	WR	53.15	8	133		1069		
58	17051	Judkins, Quinshon	CLE	RB	54.55	4	147		882		
59	12620	Prescott, Dak	DAL	QB	54.70	3	154		1028		
60	15756	Williams, Jameson	DET	WR	55.11	6	192		1010		
61	9431	Stafford, Matthew	LAR	QB	55.36	1	163		978		
63	17052	Tuten, Bhayshul	JAC	RB	56.14	3	163		965		
64	17509	Brazzell II, Chris	CAR	WR	56.21	16	408		207		
65	17102	Warren, Tyler	IND	TE	57.14	1	252		895		
66	17497	Tate, Carnell	TEN	WR	58.65	1	219		1324		
68	17544	Stowers, Eli	PHI	TE	59.99	3	304		394		
69	17567	Delp, Oscar	NOS	TE	60.12	13	477		228		
70	17607	Raridon, Eli	NEP	TE	61.19	4	305		321		
74	15789	Watson, Christian	GBP	WR	62.44	6	213		992		
75	17043	Henderson, TreVeyon	NEP	RB	62.52	2	200		1008		
76	16616	Odunze, Rome	CHI	WR	62.60	4	188		1027		
78	14779	Herbert, Justin	LAC	QB	63.17	2	171		1006		
80	17463	Simpson, Ty	LAR	QB	63.53	1	302		368		
82	17468	Allar, Drew	PIT	QB	63.73	11	327		233		
83	17547	Klare, Max	LAR	TE	63.91	11	513		236		
85	15259	Stevenson, Rhamondre	NEP	RB	64.14	4	202		1008		
86	17505	Sarratt, Elijah	BAL	WR	64.79	12	459		253		
