Player,POS,AVG
Kaelon Black,RB,229.6
Eli Raridon,TE,230.9
Max Klare,TE,231.3
Kirk Cousins,QB,231.5
Anthony Richardson,QB,233.1
Deshaun Watson,QB,234.3
Jaylin Noel,WR,235.3
Oscar Delp,TE,236.5
Ryan Flournoy,WR,237.9
Elijah Arroyo,TE,238.6
Cade Klubnik,QB,239.2
Adam Randall,RB,239.7
Dontayvion Wicks,WR,241.2
Jack Bech,WR,242.5
Jordan James,RB,243.8
James Conner,RB,244.0
Ray Davis,RB,245.9
Sean Tucker,RB,246.0
Emanuel Wilson,RB,247.3
Jalen Milroe,QB,247.6
Jaylen Wright,RB,249.1
Justin Fields,QB,250.3
Michael Mayer,TE,251.7
Darnell Mooney,WR,252.1
Kyle Williams,WR,253.2
Brenen Thompson,WR,254.2
DJ Giddens,RB,255.4
Colby Parkinson,TE,255.8
Devin Neal,RB,257.8
Will Howard,QB,258.1
Xavier Legette,WR,259.3
Isaiah Bond,WR,260.5
Kevin Coleman Jr.,WR,261.3
Greg Dulcich,TE,262.4
MarShawn Lloyd,RB,263.1
Caleb Douglas,WR,263.9
Justin Joly,TE,265.2
Evan Engram,TE,266.2
Cooper Kupp,WR,267.1
Rashod Bateman,WR,268.1
Seth McGowan,RB,269.5
Garrett Nussmeier,QB,270.3
Bryce Lance,WR,271.2
LeQuint Allen,RB,272.0
Mike Gesicki,TE,273.4
Calvin Ridley,WR,274.5
Darnell Washington,TE,275.6
Ja'Tavion Sanders,TE,276.2
Zavion Thomas,WR,277.5
Quinn Ewers,QB,278.5
Brashard Smith,RB,279.1
Tez Johnson,WR,279.4
Eli Heidenreich,RB,281.9
J'Mari Taylor,RB,282.2
Cole Kmet,TE,283.7
Isaiah Davis,RB,284.3
Riley Leonard,QB,285.8
Taylen Green,QB,286.1
Devaughn Vele,WR,287.7
Christian Kirk,WR,287.8
Marvin Mims Jr.,WR,289.7
Jahan Dotson,WR,290.4
CJ Daniels,WR,291.4
Michael Trigg,TE,292.6
Tyquan Thornton,WR,293.0
Deion Burks,WR,294.3
Najee Harris,RB,295.2
Noah Gray,TE,295.7
Jam Miller,RB,297.4
Keenan Allen,WR,298.4
Dont'e Thornton Jr.,WR,299.5
Ben Sinnott,TE,300.0
Marquise Brown,WR,301.0
