"ADP","Position","Player","Team","FFPC","Sleeper","10-Team","12-Team"
"1","QB-01","Josh Allen","BUF","-","-","1.01","1.01"
"2","RB-01","Bijan Robinson","ATL","-","-","1.02","1.02"
"3","QB-02","Drake Maye","NE","-","-","1.03","1.03"
"4","RB-02","Jahmyr Gibbs","DET","-","-","1.04","1.04"
"5","WR-01","Ja'Marr Chase","CIN","-","-","1.05","1.05"
"6","WR-02","Puka Nacua","LAR","-","-","1.06","1.06"
"7","WR-03","Jaxon Smith-Njigba","SEA","-","-","1.07","1.07"
"8","QB-03","Jayden Daniels","WAS","-","-","1.08","1.08"
"9","RB-03","Christian McCaffrey","SF","-","-","1.09","1.09"
"10","QB-04","Joe Burrow","CIN","-","-","1.10","1.10"
"11","QB-05","Lamar Jackson","BAL","-","-","1.11","1.11"
"12","RB-04","Jonathan Taylor","IND","-","-","1.12","1.12"
"13","RB-05","James Cook","BUF","-","-","2.01","2.01"
"14","QB-06","Caleb Williams","CHI","-","-","2.02","2.02"
"15","WR-04","CeeDee Lamb","DAL","-","-","2.03","2.03"
"16","WR-05","Amon-Ra St. Brown","DET","-","-","2.04","2.04"
"17","WR-06","Justin Jefferson","MIN","-","-","2.05","2.05"
"18","WR-07","Drake London","ATL","-","-","2.06","2.06"
"19","RB-06","Kenneth Walker III","KC","-","-","2.07","2.07"
"20","RB-07","Ashton Jeanty","LVR","-","-","2.08","2.08"
"21","RB-08","De'Von Achane","MIA","-","-","2.09","2.09"
"22","TE-01","Trey McBride","ARI","-","-","2.10","2.10"
"23","QB-07","Jaxson Dart","NYG","-","-","2.11","2.11"
"24","QB-08","Justin Herbert","LAC","-","-","2.12","2.12"
"25","QB-09","Jalen Hurts","PHI","-","-","3.01","3.01"
"26","QB-10","Patrick Mahomes","KC","-","-","3.02","3.02"
"27","RB-09","Omarion Hampton","LAC","-","-","3.03","3.03"
"28","WR-08","Malik Nabers","NYG","-","-","3.04","3.04"
"29","RB-10","Saquon Barkley","PHI","-","-","3.05","3.05"
"30","RB-11","Jeremiyah Love","ARI","-","-","3.06","3.06"
"31","QB-11","Trevor Lawrence","JAC","-","-","3.07","3.07"
"32","WR-09","Nico Collins","HOU","-","-","3.08","3.08"
"33","QB-12","Bo Nix","DEN","-","-","3.09","3.09"
"34","RB-12","Chase Brown","CIN","-","-","3.10","3.10"
"35","WR-10","George Pickens","DAL","-","-","3.11","3.11"
"36","QB-13","Brock Purdy","SF","-","-","3.12","3.12"
"37","TE-02","Brock Bowers","LVR","-","-","4.01","4.01"
"38","WR-11","Chris Olave","NO","-","-","4.02","4.02"
"39","QB-14","Fernando Mendoza","LVR","-","-","4.03","4.03"
"40","RB-13","Josh Jacobs","GB","-","-","4.04","4.04"
"41","WR-12","A.J. Brown","NE","-","-","4.05","4.05"
"42","RB-14","Bucky Irving","TB","-","-","4.06","4.06"
"43","WR-13","Rashee Rice","KC","-","-","4.07","4.07"
"44","QB-15","Dak Prescott","DAL","-","-","4.08","4.08"
"45","RB-15","Derrick Henry","BAL","-","-","4.09","4.09"
"46","WR-14","Tee Higgins","CIN","-","-","4.10","4.10"
"47","WR-15","Tetairoa McMillan","CAR","-","-","4.11","4.11"
"48","RB-16","Breece Hall","NYJ","-","-","4.12","4.12"
"49","QB-16","Jordan Love","GB","-","-","5.01","5.01"
"50","RB-17","Kyren Williams","LAR","-","-","5.02","5.02"
"51","WR-16","Garrett Wilson","NYJ","-","-","5.03","5.03"
"52","WR-17","Luther Burden III","CHI","-","-","5.04","5.04"
"53","RB-18","Travis Etienne","NO","-","-","5.05","5.05"
"54","RB-19","Javonte Williams","DAL","-","-","5.06","5.06"
"55","WR-18","Jaylen Waddle","DEN","-","-","5.07","5.07"
"56","WR-19","Davante Adams","LAR","-","-","5.08","5.08"
"57","WR-20","Ladd McConkey","LAC","-","-","5.09","5.09"
"58","TE-03","Colston Loveland","CHI","-","-","5.10","5.10"
"59","WR-21","Zay Flowers","BAL","-","-","5.11","5.11"
"60","WR-22","Jameson Williams","DET","-","-","5.12","5.12"
"61","RB-20","TreVeyon Henderson","NE","-","-","6.01","6.01"
"62","WR-23","DeVonta Smith","PHI","-","-","6.02","6.02"
"63","WR-24","Emeka Egbuka","TB","-","-","6.03","6.03"
"64","QB-17","Baker Mayfield","TB","-","-","6.04","6.04"
"65","QB-18","Jared Goff","DET","-","-","6.05","6.05"
"66","WR-25","Terry McLaurin","WAS","-","-","6.06","6.06"
"67","TE-04","Tyler Warren","IND","-","-","6.07","6.07"
"68","RB-21","RJ Harvey","DEN","-","-","6.08","6.08"
"69","WR-26","D.J. Moore","BUF","-","-","6.09","6.09"
"70","RB-22","Cameron Skattebo","NYG","-","-","6.10","6.10"
"71","RB-23","Bhayshul Tuten","JAC","-","-","6.11","6.11"
"72","QB-19","Cameron Ward","TEN","-","-","6.12","6.12"
"73","WR-27","Mike Evans","SF","-","-","7.01","7.01"
"74","WR-28","Carnell Tate","TEN","-","-","7.02","7.02"
"75","RB-24","D'Andre Swift","CHI","-","-","7.03","7.03"
"76","QB-20","C.J. Stroud","HOU","-","-","7.04","7.04"
"77","RB-25","Quinshon Judkins","CLE","-","-","7.05","7.05"
"78","QB-21","Tyler Shough","NO","-","-","7.06","7.06"
"79","TE-05","Harold Fannin Jr.","CLE","-","-","7.07","7.07"
"80","QB-22","Sam Darnold","SEA","-","-","7.08","7.08"
"81","WR-29","Christian Watson","GB","-","-","7.09","7.09"
"82","RB-26","David Montgomery","HOU","-","-","7.10","7.10"
"83","RB-27","Jaylen Warren","PIT","-","-","7.11","7.11"
"84","QB-23","Kyler Murray","MIN","-","-","7.12","7.12"
"85","WR-30","Rome Odunze","CHI","-","-","8.01","8.01"
"86","WR-31","Jordyn Tyson","NO","-","-","8.02","8.02"
"87","QB-24","Bryce Young","CAR","-","-","8.03","8.03"
"88","QB-25","Matthew Stafford","LAR","-","-","8.04","8.04"
"89","TE-06","Tucker Kraft","GB","-","-","8.05","8.05"
"90","WR-32","Courtland Sutton","DEN","-","-","8.06","8.06"
"91","TE-07","Kyle Pitts","ATL","-","-","8.07","8.07"
"92","QB-26","Daniel Jones","IND","-","-","8.08","8.08"
"93","WR-33","D.K. Metcalf","PIT","-","-","8.09","8.09"
"94","QB-27","Malik Willis","MIA","-","-","8.10","8.10"
"95","RB-28","Rhamondre Stevenson","NE","-","-","8.11","8.11"
"96","WR-34","Michael Wilson","ARI","-","-","8.12","8.12"
"97","WR-35","Makai Lemon","PHI","-","-","9.01","9.01"
"98","WR-36","Jakobi Meyers","JAC","-","-","9.02","9.02"
"99","WR-37","Brian Thomas Jr.","JAC","-","-","9.03","9.03"
"100","RB-29","Kyle Monangai","CHI","-","-","9.04","9.04"
"101","TE-08","Sam LaPorta","DET","-","-","9.05","9.05"
"102","TE-09","Dalton Kincaid","BUF","-","-","9.06","9.06"
"103","WR-38","Marvin Harrison Jr.","ARI","-","-","9.07","9.07"
"104","RB-30","Tony Pollard","TEN","-","-","9.08","9.08"
"105","RB-31","Rico Dowdle","PIT","-","-","9.09","9.09"
"106","TE-10","Oronde Gadsden II","LAC","-","-","9.10","9.10"
"107","RB-32","Chuba Hubbard","CAR","-","-","9.11","9.11"
"108","RB-33","Blake Corum","LAR","-","-","9.12","9.12"
"109","WR-39","Ricky Pearsall","SF","-","-","10.01","10.01"
"110","WR-40","Alec Pierce","IND","-","-","10.02","10.02"
"111","WR-41","Chris Godwin","TB","-","-","10.03","10.03"
"112","WR-42","Parker Washington","JAC","-","-","10.04","10.04"
