"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9 ","RB1","1","1","1.0"
"2","Tyreek Hill","","","WR1","2","3","2.5"
"3","CeeDee Lamb","DAL","7","WR2","3","2","2.5"
"4","Justin Jefferson","MIN","6","WR3","4","7","5.5"
"5","Bijan Robinson","ATL","12","RB2","6","5","5.5"
"6","Breece Hall","NYJ","12","RB3","8","4","6.0"
"7","Ja'Marr Chase","CIN","12","WR4","5","8","6.5"
"8","Amon-Ra St. Brown","DET","5","WR5","7","6","6.5"
"9","A.J. Brown","NE","14","WR6","9","11","10.0"
"10","Saquon Barkley","PHI","5","RB4","12","9","10.5"
"11","Jonathan Taylor","IND","14","RB5","11","10","10.5"
"12","Jahmyr Gibbs","DET","5","RB6","10","13","11.5"
"13","Garrett Wilson","NYJ","12","WR7","13","12","12.5"
"14","Puka Nacua","LAR","6","WR8","15","14","14.5"
"15","Marvin Harrison Jr.","ARI","11","WR9","14","16","15.0"
"16","Travis Etienne Jr.","NO","12","RB7","16","15","15.5"
"17","Kyren Williams","LAR","6","RB8","17","19","18.0"
"18","Derrick Henry","BAL","14","RB9","18","20","19.0"
"19","Josh Jacobs","GB","10","RB10","24","17","20.5"
"20","De'Von Achane","MIA","6","RB11","23","18","20.5"
"21","Drake London","ATL","12","WR10","19","23","21.0"
"22","Davante Adams","LAR","6","WR11","21","22","21.5"
"23","Josh Allen","BUF","12","QB1","20","24","22.0"
"24","Isiah Pacheco","DET","5","RB12","28","21","24.5"
"25","Chris Olave","NO","12","WR12","22","29","25.5"
"26","Deebo Samuel Sr.","","","WR13","27","26","26.5"
"27","Nico Collins","HOU","14","WR14","33","25","29.0"
"28","Travis Kelce","KC","6","TE1","25","36","30.5"
"29","Jalen Hurts","PHI","5","QB2","31","30","30.5"
"30","Sam LaPorta","DET","5","TE2","30","32","31.0"
"31","Patrick Mahomes II","KC","6","QB3","32","34","33.0"
"32","James Cook III","BUF","12","RB13","40","27","33.5"
"33","Rachaad White","WAS","14","RB14","37","31","34.0"
"34","Brandon Aiyuk","SF","9 ","WR15","26","43","34.5"
"35","Michael Pittman Jr.","PIT","9","WR16","44","28","36.0"
"36","Cooper Kupp","SEA","10","WR17","39","33","36.0"
"37","Mike Evans","SF","9","WR18","29","46","37.5"
"38","Lamar Jackson","BAL","14","QB4","36","40","38.0"
"39","Jaylen Waddle","DEN","14","WR19","35","42","38.5"
"40","DJ Moore","BUF","12","WR20","38","39","38.5"
"41","Stefon Diggs ","","","WR21","34","44","39.0"
"42","DK Metcalf","PIT","9","WR22","41","38","39.5"
"43","Kenneth Walker III","KC","6","RB15","45","35","40.0"
"44","Joe Mixon","","","RB16","43","41","42.0"
"45","Alvin Kamara","NO","12","RB17","50","37","43.5"
"46","Malik Nabers","NYG","11","WR23","42","47","44.5"
