"Rank","Player","Team","Bye","POS","AVG"
"1","Jahmyr Gibbs","DET","6","RB1","1.0"
"2","Bijan Robinson","ATL","11","RB2","2.0"
"3","Ja'Marr Chase","CIN","6","WR1","3.0"
"4","Puka Nacua","LAR","11","WR2","4.0"
"5","Jaxon Smith-Njigba","SEA","11","WR3","5.0"
"6","Jonathan Taylor","IND","13","RB3","6.0"
"7","Christian McCaffrey","SF","8","RB4","7.0"
"8","Amon-Ra St. Brown","DET","6","WR4","8.0"
"9","CeeDee Lamb","DAL","14","WR5","9.0"
"10","Justin Jefferson","MIN","6","WR6","10.0"
"11","Ashton Jeanty","LV","13","RB5","11.0"
"12","James Cook III","BUF","7","RB6","12.0"
"13","Saquon Barkley","PHI","10","RB7","13.0"
"14","Omarion Hampton","LAC","7","RB8","14.0"
"15","De'Von Achane","MIA","6","RB9","15.0"
"16","Kenneth Walker III","KC","5","RB10","16.0"
"17","Chase Brown","CIN","6","RB11","17.0"
"18","Derrick Henry","BAL","13","RB12","18.0"
"19","Drake London","ATL","11","WR7","19.0"
"20","Brock Bowers","LV","13","TE1","20.0"
"21","A.J. Brown","NE","11","WR8","21.0"
"22","Nico Collins","HOU","8","WR9","22.0"
"23","George Pickens","DAL","14","WR10","23.0"
"24","Jeremiyah Love","ARI","14","RB13","24.0"
"25","Trey McBride","ARI","14","TE2","25.0"
"26","Breece Hall","NYJ","13","RB14","26.0"
"27","DeVonta Smith","PHI","10","WR11","27.0"
"28","Rashee Rice","KC","5","WR12","28.0"
"29","Chris Olave","NO","8","WR13","29.0"
"30","Travis Etienne Jr.","NO","8","RB15","30.0"
"31","Malik Nabers","NYG","8","WR14","31.0"
"32","Kyren Williams","LAR","11","RB16","32.0"
"33","Zay Flowers","BAL","13","WR15","33.0"
"34","Josh Allen","BUF","7","QB1","34.0"
"35","Tee Higgins","CIN","6","WR16","35.0"
"36","Javonte Williams","DAL","14","RB17","36.0"
"37","Ladd McConkey","LAC","7","WR17","37.0"
"38","Tetairoa McMillan","CAR","5","WR18","38.0"
"39","Garrett Wilson","NYJ","13","WR19","39.0"
"40","Emeka Egbuka","TB","10","WR20","40.0"
"41","Josh Jacobs","GB","11","RB18","41.0"
"42","Luther Burden III","CHI","10","WR21","42.0"
"43","Cam Skattebo","NYG","8","RB19","43.0"
"44","Mike Evans","SF","8","WR22","44.0"
"45","Terry McLaurin","WAS","7","WR23","45.0"
"46","Colston Loveland","CHI","10","TE3","46.0"
"47","Jaylen Waddle","DEN","10","WR24","47.0"
"48","Jameson Williams","DET","6","WR25","48.0"
"49","David Montgomery","HOU","8","RB20","49.0"
"50","Davante Adams","LAR","11","WR26","50.0"
"51","TreVeyon Henderson","NE","11","RB21","51.0"
